ConfAbbrev,Description,Season,TeamID
a_sun,Atlantic Sun Conference,2022,1146
a_sun,Atlantic Sun Conference,2022,1184
a_sun,Atlantic Sun Conference,2022,1195
a_sun,Atlantic Sun Conference,2022,1239
a_sun,Atlantic Sun Conference,2022,1240
a_sun,Atlantic Sun Conference,2022,1244
a_sun,Atlantic Sun Conference,2022,1251
a_sun,Atlantic Sun Conference,2022,1252
a_sun,Atlantic Sun Conference,2022,1316
a_sun,Atlantic Sun Conference,2022,1391
a_sun,Atlantic Sun Conference,2022,1466
a_sun,Atlantic Sun Conference,2022,1468
a_ten,Atlantic 10 Conference,2022,1172
a_ten,Atlantic 10 Conference,2022,1173
a_ten,Atlantic 10 Conference,2022,1182
a_ten,Atlantic 10 Conference,2022,1200
a_ten,Atlantic 10 Conference,2022,1203
a_ten,Atlantic 10 Conference,2022,1206
a_ten,Atlantic 10 Conference,2022,1247
a_ten,Atlantic 10 Conference,2022,1269
a_ten,Atlantic 10 Conference,2022,1348
a_ten,Atlantic 10 Conference,2022,1350
a_ten,Atlantic 10 Conference,2022,1382
a_ten,Atlantic 10 Conference,2022,1386
a_ten,Atlantic 10 Conference,2022,1387
a_ten,Atlantic 10 Conference,2022,1433
aac,American Athletic Conference,2022,1153
aac,American Athletic Conference,2022,1187
aac,American Athletic Conference,2022,1222
aac,American Athletic Conference,2022,1272
aac,American Athletic Conference,2022,1374
aac,American Athletic Conference,2022,1378
aac,American Athletic Conference,2022,1396
aac,American Athletic Conference,2022,1408
aac,American Athletic Conference,2022,1409
aac,American Athletic Conference,2022,1416
aac,American Athletic Conference,2022,1455
acc,Atlantic Coast Conference,2022,1130
acc,Atlantic Coast Conference,2022,1155
acc,Atlantic Coast Conference,2022,1181
acc,Atlantic Coast Conference,2022,1199
acc,Atlantic Coast Conference,2022,1210
acc,Atlantic Coast Conference,2022,1257
acc,Atlantic Coast Conference,2022,1274
acc,Atlantic Coast Conference,2022,1301
acc,Atlantic Coast Conference,2022,1314
acc,Atlantic Coast Conference,2022,1323
acc,Atlantic Coast Conference,2022,1338
acc,Atlantic Coast Conference,2022,1393
acc,Atlantic Coast Conference,2022,1438
acc,Atlantic Coast Conference,2022,1439
acc,Atlantic Coast Conference,2022,1448
aec,America East Conference,2022,1107
aec,America East Conference,2022,1127
aec,America East Conference,2022,1216
aec,America East Conference,2022,1262
aec,America East Conference,2022,1263
aec,America East Conference,2022,1306
aec,America East Conference,2022,1312
aec,America East Conference,2022,1392
